A: 50 x 50
86 ,-51 ,0 ,96 ,-26 ,-22 ,96 ,20 ,-11 ,-66 ,-88 ,38 ,16 ,79 ,11 ,-57 ,-1 ,38 ,-68 ,16 ,-56 ,-27 ,52 ,19 ,-37 ,-48 ,-69 ,-33 ,88 ,4 ,30 ,-2 ,12 ,-54 ,62 ,76 ,-51 ,70 ,39 ,58 ,-30 ,-7 ,-35 ,-77 ,-83 ,-28 ,-41 ,19 ,-28 ,-24
58 ,-23 ,65 ,-46 ,55 ,-19 ,-19 ,-86 ,-90 ,-91 ,-40 ,68 ,19 ,-88 ,-10 ,10 ,-67 ,-64 ,-67 ,-46 ,-59 ,-50 ,69 ,93 ,-69 ,89 ,-59 ,56 ,43 ,-40 ,3 ,58 ,17 ,76 ,31 ,76 ,1 ,27 ,-37 ,30 ,88 ,-79 ,-5 ,66 ,15 ,-14 ,70 ,98 ,-25 ,69
-66 ,72 ,-17 ,66 ,57 ,-33 ,-73 ,0 ,-27 ,19 ,-32 ,-45 ,75 ,13 ,-66 ,-93 ,-10 ,-30 ,87 ,-65 ,-65 ,-25 ,-89 ,40 ,61 ,-10 ,7 ,64 ,-91 ,-70 ,-85 ,54 ,95 ,-26 ,-47 ,-2 ,-62 ,70 ,-17 ,-89 ,52 ,-42 ,96 ,-41 ,-32 ,-46 ,35 ,24 ,34 ,68
-84 ,-97 ,32 ,-22 ,23 ,75 ,62 ,37 ,-81 ,-49 ,-70 ,75 ,4 ,80 ,-37 ,-74 ,10 ,32 ,80 ,53 ,78 ,-48 ,-68 ,92 ,-95 ,-68 ,-97 ,59 ,-50 ,-56 ,32 ,-8 ,31 ,86 ,86 ,74 ,95 ,60 ,56 ,25 ,-8 ,3 ,-48 ,54 ,48 ,-77 ,-18 ,-5 ,-40 ,-1
-79 ,-24 ,25 ,61 ,-58 ,18 ,8 ,-23 ,-12 ,-33 ,-22 ,42 ,-9 ,-2 ,-43 ,-91 ,-96 ,-66 ,-68 ,23 ,51 ,86 ,-64 ,12 ,32 ,-2 ,59 ,62 ,-33 ,-14 ,-81 ,-60 ,-38 ,57 ,96 ,-44 ,-29 ,4 ,-75 ,60 ,-92 ,18 ,65 ,68 ,-10 ,-69 ,-93 ,34 ,78 ,-40
-68 ,51 ,-57 ,47 ,71 ,31 ,-98 ,80 ,-26 ,-57 ,62 ,18 ,99 ,-11 ,-42 ,27 ,73 ,8 ,36 ,-3 ,-78 ,-24 ,7 ,87 ,-87 ,-88 ,40 ,-16 ,71 ,-61 ,23 ,8 ,79 ,-65 ,36 ,-68 ,-57 ,-67 ,33 ,-97 ,74 ,-73 ,17 ,-69 ,85 ,-1 ,59 ,61 ,9 ,-12
99 ,96 ,11 ,43 ,-75 ,42 ,10 ,-96 ,53 ,-71 ,6 ,-81 ,-99 ,3 ,-86 ,14 ,70 ,20 ,86 ,-90 ,-51 ,-38 ,-14 ,-58 ,-23 ,58 ,-4 ,36 ,-78 ,17 ,54 ,-39 ,56 ,74 ,71 ,27 ,-56 ,21 ,73 ,66 ,57 ,-21 ,52 ,-22 ,83 ,12 ,-96 ,9 ,-1 ,2
-44 ,-96 ,86 ,-60 ,-29 ,16 ,32 ,-3 ,26 ,-30 ,-99 ,-36 ,92 ,86 ,-51 ,-88 ,58 ,-51 ,78 ,17 ,32 ,-23 ,29 ,-40 ,-81 ,-84 ,69 ,-7 ,-28 ,91 ,-87 ,-90 ,-75 ,75 ,-38 ,39 ,57 ,-86 ,-7 ,66 ,49 ,-17 ,-55 ,69 ,79 ,11 ,70 ,56 ,47 ,53
71 ,84 ,-31 ,-96 ,98 ,65 ,-66 ,49 ,-12 ,40 ,97 ,-17 ,94 ,17 ,-28 ,43 ,-11 ,-85 ,-42 ,68 ,-11 ,13 ,-38 ,-21 ,92 ,-63 ,-41 ,94 ,15 ,-40 ,73 ,70 ,67 ,-65 ,-70 ,-35 ,-15 ,40 ,-33 ,37 ,62 ,27 ,-70 ,-99 ,-1 ,92 ,93 ,18 ,93 ,-81
66 ,-66 ,38 ,-19 ,-59 ,-93 ,-58 ,-20 ,-18 ,17 ,-14 ,74 ,45 ,-14 ,-45 ,-98 ,77 ,55 ,49 ,-77 ,-31 ,-67 ,-41 ,-2 ,-97 ,-10 ,-66 ,-51 ,54 ,-48 ,5 ,-12 ,-3 ,58 ,-49 ,-23 ,-17 ,25 ,-74 ,-60 ,-35 ,35 ,-56 ,4 ,80 ,31 ,18 ,22 ,-88 ,-85
-7 ,-58 ,-66 ,89 ,52 ,-14 ,19 ,14 ,-15 ,-55 ,-37 ,-26 ,-33 ,57 ,-75 ,60 ,36 ,31 ,97 ,-20 ,21 ,99 ,42 ,-33 ,-13 ,19 ,49 ,75 ,80 ,48 ,65 ,26 ,-93 ,-54 ,-84 ,11 ,17 ,95 ,21 ,-10 ,46 ,67 ,-65 ,-65 ,1 ,83 ,-7 ,-51 ,-45 ,62
-35 ,66 ,-35 ,48 ,-14 ,28 ,56 ,72 ,-7 ,-92 ,-15 ,97 ,-11 ,-67 ,18 ,47 ,-87 ,1 ,-66 ,-42 ,-73 ,-27 ,-87 ,-84 ,-23 ,81 ,-56 ,-64 ,21 ,59 ,-46 ,15 ,-34 ,82 ,-93 ,97 ,-14 ,-50 ,82 ,21 ,28 ,14 ,56 ,-63 ,-4 ,38 ,-99 ,70 ,68 ,58
-28 ,12 ,84 ,93 ,17 ,-27 ,89 ,42 ,71 ,-18 ,-63 ,-41 ,16 ,39 ,96 ,87 ,50 ,50 ,-75 ,49 ,-33 ,-57 ,91 ,3 ,-85 ,10 ,90 ,1 ,-98 ,-65 ,-53 ,27 ,-95 ,16 ,-62 ,-86 ,-81 ,31 ,-57 ,-43 ,-45 ,74 ,95 ,83 ,-61 ,-53 ,8 ,-68 ,43 ,64
23 ,43 ,-13 ,26 ,94 ,-96 ,5 ,86 ,65 ,45 ,-77 ,-2 ,76 ,2 ,4 ,-76 ,-92 ,46 ,94 ,88 ,-59 ,8 ,89 ,24 ,60 ,74 ,36 ,-79 ,13 ,-49 ,93 ,36 ,91 ,-90 ,78 ,-94 ,26 ,-28 ,-16 ,54 ,78 ,-68 ,-82 ,-18 ,69 ,77 ,57 ,-72 ,1 ,-1
55 ,44 ,-60 ,-28 ,76 ,-24 ,87 ,20 ,69 ,-90 ,-45 ,-71 ,-54 ,95 ,69 ,86 ,15 ,39 ,-53 ,-78 ,-11 ,43 ,-62 ,-17 ,91 ,-4 ,29 ,83 ,-57 ,12 ,19 ,0 ,21 ,-13 ,4 ,16 ,73 ,90 ,-9 ,20 ,-99 ,-59 ,-6 ,64 ,36 ,12 ,-30 ,-92 ,-86 ,42
-97 ,51 ,-98 ,31 ,-28 ,-62 ,59 ,66 ,-20 ,-50 ,29 ,38 ,-34 ,74 ,43 ,62 ,-28 ,73 ,15 ,9 ,48 ,-53 ,-28 ,-99 ,-47 ,14 ,-92 ,62 ,68 ,74 ,-42 ,-11 ,-14 ,87 ,-14 ,54 ,-65 ,-69 ,-72 ,-7 ,12 ,95 ,-66 ,31 ,-7 ,-64 ,-71 ,-41 ,-47 ,-22
-4 ,-27 ,-23 ,65 ,58 ,49 ,30 ,-1 ,88 ,25 ,85 ,62 ,71 ,64 ,-7 ,-82 ,-90 ,-69 ,31 ,95 ,-45 ,-29 ,-1 ,-81 ,38 ,-61 ,-55 ,59 ,-57 ,-34 ,-22 ,36 ,40 ,-63 ,70 ,61 ,-18 ,-52 ,0 ,48 ,55 ,-9 ,56 ,-98 ,-75 ,39 ,64 ,-13 ,94 ,87
67 ,-63 ,-4 ,-98 ,34 ,-89 ,62 ,59 ,-37 ,89 ,-13 ,30 ,-43 ,-47 ,-85 ,7 ,-30 ,45 ,-49 ,-9 ,20 ,74 ,-85 ,-16 ,75 ,58 ,-29 ,22 ,70 ,-77 ,4 ,-64 ,12 ,37 ,-47 ,-88 ,-65 ,-1 ,81 ,-6 ,43 ,93 ,56 ,-16 ,35 ,38 ,-35 ,-35 ,22 ,-84
0 ,28 ,45 ,47 ,-90 ,-94 ,-78 ,-98 ,-53 ,-39 ,24 ,85 ,-3 ,88 ,-27 ,-56 ,41 ,99 ,-67 ,57 ,-57 ,36 ,11 ,-78 ,75 ,-90 ,82 ,-75 ,-87 ,-82 ,-3 ,-5 ,-22 ,-39 ,32 ,-24 ,-84 ,-34 ,-92 ,24 ,14 ,33 ,91 ,-5 ,64 ,18 ,45 ,-90 ,-25 ,66
60 ,96 ,-39 ,96 ,29 ,-44 ,-20 ,-34 ,44 ,78 ,23 ,14 ,-2 ,16 ,28 ,-85 ,9 ,-44 ,9 ,-21 ,90 ,-85 ,76 ,60 ,35 ,-38 ,30 ,33 ,-96 ,-90 ,-24 ,-93 ,-20 ,12 ,-70 ,-67 ,-94 ,-55 ,-5 ,-65 ,-82 ,-30 ,91 ,57 ,96 ,-21 ,21 ,-81 ,85 ,64
-70 ,8 ,-83 ,25 ,88 ,-5 ,-67 ,-15 ,42 ,91 ,60 ,98 ,-55 ,-81 ,74 ,56 ,47 ,-78 ,-91 ,-10 ,57 ,-20 ,-9 ,-87 ,-98 ,42 ,92 ,-19 ,-38 ,12 ,70 ,-12 ,19 ,-61 ,9 ,-59 ,39 ,-53 ,-88 ,-93 ,81 ,5 ,73 ,-84 ,53 ,-88 ,87 ,6 ,-85 ,-11
-46 ,75 ,10 ,-70 ,-20 ,-97 ,1 ,-25 ,-30 ,-21 ,33 ,-50 ,78 ,85 ,70 ,-7 ,76 ,-41 ,-11 ,84 ,-56 ,59 ,26 ,-42 ,-13 ,-46 ,41 ,-3 ,86 ,59 ,-45 ,99 ,40 ,10 ,6 ,-8 ,1 ,73 ,89 ,35 ,19 ,-39 ,-9 ,-24 ,-63 ,-29 ,93 ,-2 ,-38 ,81
-12 ,80 ,7 ,-2 ,-4 ,-92 ,-99 ,26 ,-34 ,57 ,53 ,99 ,-70 ,-19 ,7 ,-56 ,74 ,48 ,-14 ,-79 ,-78 ,-90 ,39 ,-65 ,6 ,-74 ,-35 ,34 ,26 ,25 ,-92 ,94 ,56 ,8 ,97 ,-70 ,-3 ,-28 ,47 ,48 ,83 ,18 ,-74 ,-14 ,-63 ,-51 ,44 ,38 ,-27 ,-3
-55 ,50 ,-76 ,63 ,-63 ,-41 ,-17 ,-9 ,-85 ,-76 ,-29 ,-92 ,88 ,9 ,-21 ,-53 ,-18 ,-11 ,9 ,0 ,-46 ,83 ,-63 ,46 ,26 ,55 ,78 ,25 ,19 ,64 ,-41 ,7 ,36 ,91 ,-70 ,-35 ,-94 ,98 ,35 ,-54 ,96 ,-73 ,33 ,40 ,-10 ,81 ,-33 ,-22 ,21 ,32
-67 ,45 ,39 ,99 ,-9 ,-1 ,58 ,-72 ,-52 ,-57 ,-52 ,72 ,60 ,32 ,17 ,-25 ,-85 ,-76 ,56 ,-30 ,-57 ,64 ,-62 ,-70 ,47 ,89 ,74 ,81 ,50 ,57 ,87 ,-9 ,9 ,-30 ,31 ,2 ,-51 ,-83 ,-16 ,59 ,56 ,-80 ,60 ,-45 ,-86 ,-85 ,-19 ,45 ,16 ,-29
-95 ,90 ,79 ,-17 ,-21 ,-3 ,55 ,58 ,70 ,19 ,-96 ,98 ,-40 ,-44 ,-75 ,-83 ,-25 ,-81 ,-32 ,76 ,90 ,8 ,-65 ,-84 ,-12 ,-55 ,-65 ,80 ,27 ,39 ,-47 ,71 ,-69 ,-9 ,86 ,25 ,-34 ,-39 ,74 ,14 ,-4 ,-35 ,-61 ,-82 ,15 ,58 ,-66 ,-9 ,-91 ,97
40 ,18 ,-17 ,-51 ,35 ,-79 ,4 ,10 ,23 ,-70 ,49 ,86 ,57 ,-79 ,-8 ,-16 ,-86 ,-69 ,6 ,58 ,-51 ,-62 ,55 ,-54 ,-79 ,99 ,-86 ,99 ,88 ,52 ,99 ,99 ,46 ,24 ,-71 ,-19 ,-57 ,33 ,-43 ,-47 ,-87 ,73 ,63 ,51 ,18 ,-4 ,53 ,12 ,10 ,90
